,anon,Quelle sont vos compétences Croix-Rouge ?,Lundi - [00 - 02h],Lundi - [02 - 04h],Lundi - [04 - 06h],Lundi - [06 - 08h],Lundi - [08 - 10h],Lundi - [10 - 12h],Lundi - [12 - 14h],Lundi - [14 - 16h],Lundi - [16 - 18h],Lundi - [18 - 20h],Lundi - [20 - 22h],Lundi - [22 - 24h],Mardi - [00 - 02h],Mardi - [02 - 04h],Mardi - [04 - 06h],Mardi - [06 - 08h],Mardi - [08 - 10h],Mardi - [10 - 12h],Mardi - [12 - 14h],Mardi - [14 - 16h],Mardi - [16 - 18h],Mardi - [18 - 20h],Mardi - [20 - 22h],Mardi - [22 - 24h],Mercredi - [00 - 02h],Mercredi - [02 - 04h],Mercredi - [04 - 06h],Mercredi - [06 - 08h],Mercredi - [08 - 10h],Mercredi - [10 - 12h],Mercredi - [12 - 14h],Mercredi - [14 - 16h],Mercredi - [16 - 18h],Mercredi - [18 - 20h],Mercredi - [20 - 22h],Mercredi - [22 - 24h],Jeudi - [00 - 02h],Jeudi - [02 - 04h],Jeudi - [04 - 06h],Jeudi - [06 - 08h],Jeudi - [08 - 10h],Jeudi - [10 - 12h],Jeudi - [12 - 14h],Jeudi - [14 - 16h],Jeudi - [16 - 18h],Jeudi - [18 - 20h],Jeudi - [20 - 22h],Jeudi - [22 - 24h],Vendredi - [00 - 02h],Vendredi - [02 - 04h],Vendredi - [04 - 06h]
49,88,Animateur.rice de cours de FLE,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON
50,74,"Maraudeur.se, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
51,73,"Chauffeur VL, Chef.fe d'équipe maraudes, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
52,1,"Chauffeur VL, PSC1, PSE1, PSE2",NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON
53,5,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se, PSC1",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
54,90,"Chauffeur VL, Chauffeur VPSP, Chef.fe d'équipe maraudes, CI, CI Alpha, CI Réseau",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
55,57,PSE2,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON
56,89,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se, PSC1",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
57,56,PSE2,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON
58,26,"PSC1, Nouveau bénévole",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
59,83,"Chauffeur VL, PSE2",NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
60,92,"Chef.fe d'équipe maraudes, Maraudeur.se, PSC1, PSE1, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON
61,61,PSE1,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON
62,32,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se, PSE1",NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON
63,2,"Chauffeur VL, PSE2",OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
64,0,"Chauffeur VL, PSE2, TSA / Coreg",OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI
65,19,"Maraudeur.se, PSC1",NON,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON
66,22,"CI, Infirmier.e local.e, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
67,62,PSE1,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI
68,14,"Chauffeur VL, PSC1, PSE1, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
69,50,PSE1,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI
70,99,PSC1,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI
71,21,"Chauffeur VL, CI, CI Alpha, CI Réseau, PSC1, PSE1, PSE2, TSA / Coreg",NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON
72,72,"Logisticien.ne Croix-Rouge, PSC1",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
73,91,"Maraudeur.se, PSC1",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
74,117,"Chauffeur VL, Maraudeur.se, PSE2",NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
75,52,"Chauffeur VL, Maraudeur.se",NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON
76,93,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
77,86,"CI, PSC1, PSE1, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
78,43,PSE1,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI
79,80,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
80,29,"Chauffeur VL, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
81,104,Maraudeur.se,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON
82,105,"Maraudeur.se, PSE1",OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI
83,47,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se, PSC1",NON,NON,NON,OUI,OUI,NON,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,OUI,OUI,NON,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON
84,60,"CI, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
85,97,Animateur.rice de cours de FLE,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON
86,17,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
87,27,"PSE2, TSA / Coreg",NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
88,15,"PSC1, PSE1, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
89,70,PSE2,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
90,31,"Chauffeur VL, Chauffeur VPSP, PSC1, PSE1, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON
91,67,"Chef.fe d'équipe maraudes, Maraudeur.se, PSC1",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
92,66,"PSC1, PSE1, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
93,49,PSE2,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
94,38,"Maraudeur.se, PSC1, Responsable Permanence Sociale",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON
95,41,"Maraudeur.se, PSC1, Responsable Permanence Sociale",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
96,78,"Chauffeur VL, Chauffeur VPSP, CI",NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON
97,81,"Chauffeur VL, Chef.fe d'équipe maraudes, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
98,34,PSE2,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
99,106,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se, PSC1",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
100,102,"Animateur.rice de cours de FLE, PSC1",OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI
101,64,Nouveau bénévole,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON
102,24,"Maraudeur.se, PSC1",NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON
103,40,Maraudeur.se,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
104,18,"Maraudeur.se, PSC1, PSE1",NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON
105,48,Maraudeur.se,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON
106,100,"Chauffeur VL, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON
107,30,"Maraudeur.se, PSC1",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
108,109,"Chauffeur VL, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
109,55,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
110,20,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
111,85,"Maraudeur.se, PSC1",NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON
112,23,"Chauffeur VL, PSC1, PSE1, PSE2",OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON
113,25,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
114,114,"Chauffeur VL, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI
