,anon,chauf_vl,pse1,pse2,chauf_vpsp,maraud,psc1,log,chef_maraud,fle,perm_soc,ci,nouv_bene,tsa,infirmier,Date,Value,day_name,dispo,
181,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00,0
297,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00,0
593,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-02-04h,OUI,Lundi,2020-03-23 02,0
709,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-02-04h,OUI,Lundi,2020-03-23 02,0
1005,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-04-06h,OUI,Lundi,2020-03-23 04,0
1121,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-04-06h,OUI,Lundi,2020-03-23 04,0
1417,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-06-08h,OUI,Lundi,2020-03-23 06,0
1533,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-06-08h,OUI,Lundi,2020-03-23 06,0
1945,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-08-10h,OUI,Lundi,2020-03-23 08,0
2357,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-10-12h,OUI,Lundi,2020-03-23 10,0
2769,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-12-14h,OUI,Lundi,2020-03-23 12,0
3181,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-14-16h,OUI,Lundi,2020-03-23 14,0
3477,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-16-18h,OUI,Lundi,2020-03-23 16,0
3593,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-16-18h,OUI,Lundi,2020-03-23 16,0
3889,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4005,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4014,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4301,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4417,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4713,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
4829,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
4838,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
5125,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-00-02h,OUI,Mardi,2020-03-24 00,0
5241,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-00-02h,OUI,Mardi,2020-03-24 00,0
5537,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-02-04h,OUI,Mardi,2020-03-24 02,0
5653,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-02-04h,OUI,Mardi,2020-03-24 02,0
5949,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-04-06h,OUI,Mardi,2020-03-24 04,0
6065,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-04-06h,OUI,Mardi,2020-03-24 04,0
6358,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-06-08h,OUI,Mardi,2020-03-24 06,0
6361,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-06-08h,OUI,Mardi,2020-03-24 06,0
6477,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-06-08h,OUI,Mardi,2020-03-24 06,0
6770,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-08-10h,OUI,Mardi,2020-03-24 08,0
6889,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-08-10h,OUI,Mardi,2020-03-24 08,0
7182,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-10-12h,OUI,Mardi,2020-03-24 10,0
7301,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-10-12h,OUI,Mardi,2020-03-24 10,0
7594,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-12-14h,OUI,Mardi,2020-03-24 12,0
7713,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-12-14h,OUI,Mardi,2020-03-24 12,0
8006,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-14-16h,OUI,Mardi,2020-03-24 14,0
8125,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-14-16h,OUI,Mardi,2020-03-24 14,0
8421,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-16-18h,OUI,Mardi,2020-03-24 16,0
8537,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-16-18h,OUI,Mardi,2020-03-24 16,0
8833,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-18-20h,OUI,Mardi,2020-03-24 18,0
8949,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-18-20h,OUI,Mardi,2020-03-24 18,0
8958,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-18-20h,OUI,Mardi,2020-03-24 18,0
9114,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mardi-20-22h,OUI,Mardi,2020-03-24 20,0
9245,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-20-22h,OUI,Mardi,2020-03-24 20,0
9361,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-20-22h,OUI,Mardi,2020-03-24 20,0
9370,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-20-22h,OUI,Mardi,2020-03-24 20,0
9526,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mardi-22-24h,OUI,Mardi,2020-03-24 22,0
9657,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-22-24h,OUI,Mardi,2020-03-24 22,0
