,anon,chauf_vl,pse1,pse2,chauf_vpsp,maraud,psc1,log,chef_maraud,fle,perm_soc,ci,nouv_bene,tsa,infirmier,Date,Value,day_name,dispo,
9773,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mardi-22-24h,OUI,Mardi,2020-03-24 22,0
9782,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mardi-22-24h,OUI,Mardi,2020-03-24 22,0
9938,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-00-02h,OUI,Mercredi,2020-03-25 00,0
10069,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-00-02h,OUI,Mercredi,2020-03-25 00,0
10185,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-00-02h,OUI,Mercredi,2020-03-25 00,0
10350,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-02-04h,OUI,Mercredi,2020-03-25 02,0
10481,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-02-04h,OUI,Mercredi,2020-03-25 02,0
10597,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-02-04h,OUI,Mercredi,2020-03-25 02,0
10762,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-04-06h,OUI,Mercredi,2020-03-25 04,0
10893,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-04-06h,OUI,Mercredi,2020-03-25 04,0
11009,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-04-06h,OUI,Mercredi,2020-03-25 04,0
11174,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-06-08h,OUI,Mercredi,2020-03-25 06,0
11302,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-06-08h,OUI,Mercredi,2020-03-25 06,0
11305,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-06-08h,OUI,Mercredi,2020-03-25 06,0
11421,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-06-08h,OUI,Mercredi,2020-03-25 06,0
11586,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-08-10h,OUI,Mercredi,2020-03-25 08,0
11714,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-08-10h,OUI,Mercredi,2020-03-25 08,0
11833,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-08-10h,OUI,Mercredi,2020-03-25 08,0
11998,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-10-12h,OUI,Mercredi,2020-03-25 10,0
12126,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-10-12h,OUI,Mercredi,2020-03-25 10,0
12245,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-10-12h,OUI,Mercredi,2020-03-25 10,0
12410,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-12-14h,OUI,Mercredi,2020-03-25 12,0
12538,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-12-14h,OUI,Mercredi,2020-03-25 12,0
12657,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-12-14h,OUI,Mercredi,2020-03-25 12,0
12822,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-14-16h,OUI,Mercredi,2020-03-25 14,0
12950,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-14-16h,OUI,Mercredi,2020-03-25 14,0
13069,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-14-16h,OUI,Mercredi,2020-03-25 14,0
13234,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-16-18h,OUI,Mercredi,2020-03-25 16,0
13365,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-16-18h,OUI,Mercredi,2020-03-25 16,0
13481,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-16-18h,OUI,Mercredi,2020-03-25 16,0
13646,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-18-20h,OUI,Mercredi,2020-03-25 18,0
13777,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-18-20h,OUI,Mercredi,2020-03-25 18,0
13893,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-18-20h,OUI,Mercredi,2020-03-25 18,0
13902,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-18-20h,OUI,Mercredi,2020-03-25 18,0
14058,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-20-22h,OUI,Mercredi,2020-03-25 20,0
14189,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-20-22h,OUI,Mercredi,2020-03-25 20,0
14305,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-20-22h,OUI,Mercredi,2020-03-25 20,0
14314,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-20-22h,OUI,Mercredi,2020-03-25 20,0
14470,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Mercredi-22-24h,OUI,Mercredi,2020-03-25 22,0
14601,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-22-24h,OUI,Mercredi,2020-03-25 22,0
14717,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Mercredi-22-24h,OUI,Mercredi,2020-03-25 22,0
14726,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Mercredi-22-24h,OUI,Mercredi,2020-03-25 22,0
14882,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Jeudi-00-02h,OUI,Jeudi,2020-03-26 00,0
15013,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-00-02h,OUI,Jeudi,2020-03-26 00,0
15129,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-00-02h,OUI,Jeudi,2020-03-26 00,0
15425,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-02-04h,OUI,Jeudi,2020-03-26 02,0
15541,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-02-04h,OUI,Jeudi,2020-03-26 02,0
15837,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-04-06h,OUI,Jeudi,2020-03-26 04,0
15953,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-04-06h,OUI,Jeudi,2020-03-26 04,0
16246,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-06-08h,OUI,Jeudi,2020-03-26 06,0
16249,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-06-08h,OUI,Jeudi,2020-03-26 06,0
16365,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-06-08h,OUI,Jeudi,2020-03-26 06,0
16658,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-08-10h,OUI,Jeudi,2020-03-26 08,0
16777,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-08-10h,OUI,Jeudi,2020-03-26 08,0
17070,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-10-12h,OUI,Jeudi,2020-03-26 10,0
17189,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-10-12h,OUI,Jeudi,2020-03-26 10,0
17482,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-12-14h,OUI,Jeudi,2020-03-26 12,0
17601,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-12-14h,OUI,Jeudi,2020-03-26 12,0
17894,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-14-16h,OUI,Jeudi,2020-03-26 14,0
18013,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-14-16h,OUI,Jeudi,2020-03-26 14,0
18309,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-16-18h,OUI,Jeudi,2020-03-26 16,0
18425,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-16-18h,OUI,Jeudi,2020-03-26 16,0
18522,64,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-16-18h,OUI,Jeudi,2020-03-26 16,0
18721,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-18-20h,OUI,Jeudi,2020-03-26 18,0
18837,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-18-20h,OUI,Jeudi,2020-03-26 18,0
18846,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-18-20h,OUI,Jeudi,2020-03-26 18,0
18934,64,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-18-20h,OUI,Jeudi,2020-03-26 18,0
19133,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-20-22h,OUI,Jeudi,2020-03-26 20,0
19209,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-20-22h,OUI,Jeudi,2020-03-26 20,0
19249,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-20-22h,OUI,Jeudi,2020-03-26 20,0
19258,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-20-22h,OUI,Jeudi,2020-03-26 20,0
19346,64,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-20-22h,OUI,Jeudi,2020-03-26 20,0
19545,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-22-24h,OUI,Jeudi,2020-03-26 22,0
19621,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-22-24h,OUI,Jeudi,2020-03-26 22,0
19661,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Jeudi-22-24h,OUI,Jeudi,2020-03-26 22,0
19670,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-22-24h,OUI,Jeudi,2020-03-26 22,0
19758,64,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Jeudi-22-24h,OUI,Jeudi,2020-03-26 22,0
19957,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-00-02h,OUI,Vendredi,2020-03-27 00,0
20073,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-00-02h,OUI,Vendredi,2020-03-27 00,0
20369,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-02-04h,OUI,Vendredi,2020-03-27 02,0
20485,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-02-04h,OUI,Vendredi,2020-03-27 02,0
20781,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-04-06h,OUI,Vendredi,2020-03-27 04,0
20897,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-04-06h,OUI,Vendredi,2020-03-27 04,0
21190,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-06-08h,OUI,Vendredi,2020-03-27 06,0
21193,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-06-08h,OUI,Vendredi,2020-03-27 06,0
21309,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-06-08h,OUI,Vendredi,2020-03-27 06,0
21602,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-08-10h,OUI,Vendredi,2020-03-27 08,0
21721,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-08-10h,OUI,Vendredi,2020-03-27 08,0
22014,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-10-12h,OUI,Vendredi,2020-03-27 10,0
22133,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-10-12h,OUI,Vendredi,2020-03-27 10,0
22426,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-12-14h,OUI,Vendredi,2020-03-27 12,0
22545,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-12-14h,OUI,Vendredi,2020-03-27 12,0
22838,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-14-16h,OUI,Vendredi,2020-03-27 14,0
22957,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-14-16h,OUI,Vendredi,2020-03-27 14,0
23253,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-16-18h,OUI,Vendredi,2020-03-27 16,0
23369,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-16-18h,OUI,Vendredi,2020-03-27 16,0
23665,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-18-20h,OUI,Vendredi,2020-03-27 18,0
23741,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-18-20h,OUI,Vendredi,2020-03-27 18,0
23781,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-18-20h,OUI,Vendredi,2020-03-27 18,0
23790,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-18-20h,OUI,Vendredi,2020-03-27 18,0
24077,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-20-22h,OUI,Vendredi,2020-03-27 20,0
24153,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-20-22h,OUI,Vendredi,2020-03-27 20,0
24193,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-20-22h,OUI,Vendredi,2020-03-27 20,0
24202,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-20-22h,OUI,Vendredi,2020-03-27 20,0
24489,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-22-24h,OUI,Vendredi,2020-03-27 22,0
24565,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-22-24h,OUI,Vendredi,2020-03-27 22,0
24605,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Vendredi-22-24h,OUI,Vendredi,2020-03-27 22,0
24614,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Vendredi-22-24h,OUI,Vendredi,2020-03-27 22,0
24901,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-00-02h,OUI,Samedi,2020-03-28 00,0
25017,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-00-02h,OUI,Samedi,2020-03-28 00,0
25026,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-00-02h,OUI,Samedi,2020-03-28 00,0
25313,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-02-04h,OUI,Samedi,2020-03-28 02,0
25429,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-02-04h,OUI,Samedi,2020-03-28 02,0
25725,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-04-06h,OUI,Samedi,2020-03-28 04,0
25841,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-04-06h,OUI,Samedi,2020-03-28 04,0
26137,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-06-08h,OUI,Samedi,2020-03-28 06,0
26253,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-06-08h,OUI,Samedi,2020-03-28 06,0
26262,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-06-08h,OUI,Samedi,2020-03-28 06,0
26665,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-08-10h,OUI,Samedi,2020-03-28 08,0
26674,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-08-10h,OUI,Samedi,2020-03-28 08,0
27077,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-10-12h,OUI,Samedi,2020-03-28 10,0
27086,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-10-12h,OUI,Samedi,2020-03-28 10,0
27449,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-12-14h,OUI,Samedi,2020-03-28 12,0
27489,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-12-14h,OUI,Samedi,2020-03-28 12,0
27498,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-12-14h,OUI,Samedi,2020-03-28 12,0
27861,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-14-16h,OUI,Samedi,2020-03-28 14,0
27901,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-14-16h,OUI,Samedi,2020-03-28 14,0
27910,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-14-16h,OUI,Samedi,2020-03-28 14,0
28197,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-16-18h,OUI,Samedi,2020-03-28 16,0
28273,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-16-18h,OUI,Samedi,2020-03-28 16,0
28313,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-16-18h,OUI,Samedi,2020-03-28 16,0
28322,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-16-18h,OUI,Samedi,2020-03-28 16,0
28478,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Samedi-18-20h,OUI,Samedi,2020-03-28 18,0
28609,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-18-20h,OUI,Samedi,2020-03-28 18,0
28685,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-18-20h,OUI,Samedi,2020-03-28 18,0
28725,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-18-20h,OUI,Samedi,2020-03-28 18,0
28734,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-18-20h,OUI,Samedi,2020-03-28 18,0
28890,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Samedi-20-22h,OUI,Samedi,2020-03-28 20,0
29021,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-20-22h,OUI,Samedi,2020-03-28 20,0
29097,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-20-22h,OUI,Samedi,2020-03-28 20,0
29137,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-20-22h,OUI,Samedi,2020-03-28 20,0
29146,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-20-22h,OUI,Samedi,2020-03-28 20,0
29302,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Samedi-22-24h,OUI,Samedi,2020-03-28 22,0
29433,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-22-24h,OUI,Samedi,2020-03-28 22,0
29509,43,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-22-24h,OUI,Samedi,2020-03-28 22,0
29549,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Samedi-22-24h,OUI,Samedi,2020-03-28 22,0
29558,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Samedi-22-24h,OUI,Samedi,2020-03-28 22,0
29714,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-00-02h,OUI,Dimanche,2020-03-29 00,0
29845,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-00-02h,OUI,Dimanche,2020-03-29 00,0
29961,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-00-02h,OUI,Dimanche,2020-03-29 00,0
30126,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-02-04h,OUI,Dimanche,2020-03-29 02,0
30257,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-02-04h,OUI,Dimanche,2020-03-29 02,0
30373,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-02-04h,OUI,Dimanche,2020-03-29 02,0
30538,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-04-06h,OUI,Dimanche,2020-03-29 04,0
30669,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-04-06h,OUI,Dimanche,2020-03-29 04,0
30785,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-04-06h,OUI,Dimanche,2020-03-29 04,0
31197,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-06-08h,OUI,Dimanche,2020-03-29 06,0
31206,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-06-08h,OUI,Dimanche,2020-03-29 06,0
31362,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-08-10h,OUI,Dimanche,2020-03-29 08,0
31609,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-08-10h,OUI,Dimanche,2020-03-29 08,0
31618,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-08-10h,OUI,Dimanche,2020-03-29 08,0
31774,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-10-12h,OUI,Dimanche,2020-03-29 10,0
32021,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-10-12h,OUI,Dimanche,2020-03-29 10,0
32030,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-10-12h,OUI,Dimanche,2020-03-29 10,0
